Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
452002948000329,Vrushali Shrikant Shinde,Vrushali Shrikant Shinde,2188,2
1772185502999049,Tarunpreet Singh Sond,Tarunpreet Singh Sond,2161,5
377812898752651,साहेबांचा खरा निष्ठावंत,Jayant Patil,2152,2
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,2133,18
204367436836055,Biswa Bandhu Sen,Biswa Bandhu Sen,2125,1
418931711293177,महाराष्ट्राचा कॅप्टन Cool,Jayant Parv,2079,2
30290552843,Greenpeace India,Greenpeace India Society,2066,1
165818073477856,Firstpost,Firstpost,2062,3
103782051383159,School of Politics,School of Politics,2015,6
530789300122140,Thirudargal Munnetra Kazhagam,Thirudargal Munnetra Kazhagam,2010,3
111669550743863,Dr. Dhananjay Jadhav - डॉ. धनंजय जाधव,Dr. Dhananjay Jadhav - डॉ. धनंजय जाधव,1995,1
213947398791863,Dhananjai Singh Khimsar,Dhananjai Singh Khimsar,1957,7
168954172964014,Mana Vivekanna,Mana Vivekanna,1940,10
215609233770758,Radha Arya,Radha Arya,1890,1
414299629034323,Sanjeev Agarwal,Sanjeev Agarwal,1742,5
351633781843801,Ashok Katariya,Ashok Katariya,1729,16
292222641473981,Talbir Singh Gill,Talbir Singh Gill,1726,1
206901162653380,Bubby Badal,Bubby Badal,1723,3
364476590604680,Surya Samachar,Surya Samachar,1710,19
357016611315216,महापौर विभा कुमारी पूर्णिया,महापौर विभा कुमारी पूर्णिया,1702,10
413398795181857,करेक्ट कार्यक्रम,Jayant Parv,1697,2
1794178100819828,Rikesh Sen,Rikesh Sen,1666,5
203181590261286,Bhanu Pratap Singh,Bhanu Pratap Singh,1635,5
119808806073309,Pereppadans Gold & Diamonds,Pereppadans Gold & Diamonds,1595,14
270111243000982,Harsimrat Kaur Badal,Harsimrat Kaur Badal,1591,9
233481476762034,Odisha Bhaskar,Odisha Bhaskar,1559,1
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,1554,1
132689140088396,smilefoundation,Smile Foundation,1532,5
516751531513742,फिर से NDA सरकार,Summit Polcom,1521,2
1112129718894869,Realty NXT,Realty NXT,1513,2
148931718592314,Tarun Chugh,Tarun Chugh,1499,8
101227152869727,PKK - Post Kiya Kya,PKK - Post Kiya Kya,1493,2
577516122105252,Rajkumar Bajpayee,Rajkumar Bajpayee,1479,3
396884666831090,Sanjeev In Action,Sanjeev In Action,1463,17
104979212427874,Shrikant Joshi,Shrikant Joshi,1439,11
467948439733647,"Sonali Singh, बड़हरा",Guider Brothers Services Pvt. Ltd.,1428,3
424429107582290,BJP Gujarat,BJP Gujarat,1392,17
102519939308428,टीम: संजय कुमार झा,Summit Polcom,1382,2
643448929143572,DD India,DD India,1380,4
219673794876140,DDNewsLive,DDNewsLive,1378,4
103908895896613,Kush Srivastava,Kush Srivastava,1374,3
442193352301132,25 Me Bhi Nitish - 25 में भी नीतीश,Summit Polcom,1364,2
101168908331587,कौन बनेगा मुख्यमंत्री ?,Summit Polcom,1351,2
392403493952379,Haryanvi Panchayat - हरियाणवी पंचायत,Haryanvi Panchayat,1347,3
106715008938067,ਪੰਜ ਮੈਂਬਰੀ ਭਰਤੀ ਕਮੇਟੀ,ਪੰਜ ਮੈਂਬਰੀ ਭਰਤੀ ਕਮੇਟੀ,1321,2
121663547584291,Ashish Goyal,Global Thought Infotech,1308,3
20386543316,WWF-India,WWF-India,1305,3
363810233822217,Vikramjit Sahney,Gurdeep Singh,1300,1
520589794984505,Ved Prakash Sharma,Ved Prakash Sharma,1295,10
484296688110778,Americans4Hindus,Nyso Events,1273,12
641985525831714,Vipin Wankhede,Vipin Wankhede,1271,2
394262897575367,Sukhveer Maiser Khana,Sukhveer Maiser Khana,1258,6
163137720214433,The Sootr - Madhya Pradesh,The Sootr - Madhya Pradesh,1248,9
103532752455972,Dharani R Murugesan,Dharani R Murugesan,1243,1
315045435019500,Amit Agarwal,Amit Agarwal,1201,2
104147498521866,Col. Rajyavardhan Rathore Fan Club,Col. Rajyavardhan Rathore Fan Club,1187,14
712091332135894,Outlook Traveller,Outlook Traveller,1185,20
